timestamp_utc,run_label,prompt_name,run_index,cpu_threads,cpu_isa,cpu_kv_cache,prompt_tokens,generated_tokens,prefill_only,load_time_ms,prefill_time_ms,prefill_tokens_per_second,decode_time_ms,tokens_per_second
2026-09-05T20:15:38.6902798Z,q4-B2,decode1,2,6,avx2,fp16,1,128,False,771.714604,16.851912,59.340448,2025.821296,63.18425
2026-09-05T20:15:41.4856341Z,q4-B2,decode1,3,6,avx2,fp16,1,128,False,769.129755,16.077443,62.198945,1960.642161,65.284733
2026-09-05T20:15:47.8298219Z,q4-B2,decode128,1,6,avx2,fp16,128,128,False,768.397295,402.245975,318.213252,1974.55137,64.824852
2026-09-05T20:15:50.9814618Z,q4-B2,decode128,2,6,avx2,fp16,128,128,False,776.340342,355.206232,360.354038,1975.968736,64.778353
2026-09-05T20:15:54.1338371Z,q4-B2,decode128,3,6,avx2,fp16,128,128,False,769.856287,355.498814,360.05746,1982.386472,64.568641
2026-09-05T20:15:57.1296307Z,q4-B2,prefill256,1,6,avx2,fp16,256,0,True,769.474226,682.181181,375.266875,0,0
2026-09-05T20:15:58.6373507Z,q4-B2,prefill256,2,6,avx2,fp16,256,0,True,774.081626,691.770969,370.064677,0,0
2026-09-05T20:16:00.1499275Z,q4-B2,prefill256,3,6,avx2,fp16,256,0,True,767.978236,702.655594,364.332117,0,0
2026-09-05T20:16:06.2214223Z,combined-D2,decode1,1,6,avx2,fp16,1,128,False,771.321753,16.719697,59.809696,1959.39592,65.326256
2026-09-05T20:16:09.1412545Z,combined-D2,decode1,2,6,avx2,fp16,1,128,False,772.109341,16.610994,60.201093,2037.719046,62.815333
2026-09-05T20:16:11.9264555Z,combined-D2,decode1,3,6,avx2,fp16,1,128,False,770.327754,15.764783,63.432526,1952.619367,65.552971
2026-09-05T20:16:18.2356388Z,combined-D2,decode128,1,6,avx2,fp16,128,128,False,769.19934,355.832955,359.719352,1970.704982,64.951376
2026-09-05T20:16:21.3871109Z,combined-D2,decode128,2,6,avx2,fp16,128,128,False,779.465009,356.372576,359.174663,1974.271503,64.834041
2026-09-05T20:16:24.5399157Z,combined-D2,decode128,3,6,avx2,fp16,128,128,False,768.225911,356.242154,359.306159,1980.408487,64.63313
2026-09-05T20:16:27.5212211Z,combined-D2,prefill256,1,6,avx2,fp16,256,0,True,768.669269,672.701881,380.554904,0,0
2026-09-05T20:16:29.0195889Z,combined-D2,prefill256,2,6,avx2,fp16,256,0,True,773.964376,682.281327,375.211793,0,0
2026-09-05T20:16:30.5209658Z,combined-D2,prefill256,3,6,avx2,fp16,256,0,True,767.16929,682.580772,375.047189,0,0
2026-09-05T20:16:36.7204126Z,baseline-A2,decode1,1,6,avx2,fp16,1,128,False,772.750274,17.022261,58.746602,2014.50779,63.539094
2026-09-05T20:16:39.7278167Z,baseline-A2,decode1,2,6,avx2,fp16,1,128,False,797.040961,17.099642,58.480756,2098.438207,60.997746
2026-09-05T20:16:42.5970507Z,baseline-A2,decode1,3,6,avx2,fp16,1,128,False,769.211868,16.596452,60.253842,2028.213408,63.10973
2026-09-05T20:16:49.3029889Z,baseline-A2,decode128,1,6,avx2,fp16,128,128,False,780.827958,420.511724,304.391038,2064.094298,62.012671
2026-09-05T20:16:52.6289127Z,baseline-A2,decode128,2,6,avx2,fp16,128,128,False,795.517953,418.460262,305.883286,2060.519132,62.120268
2026-09-05T20:16:55.9511248Z,baseline-A2,decode128,3,6,avx2,fp16,128,128,False,782.603419,434.210212,294.788092,2059.146371,62.161681
2026-09-05T20:16:59.2179895Z,baseline-A2,prefill256,1,6,avx2,fp16,256,0,True,767.48669,817.742708,313.056903,0,0
2026-09-05T20:17:00.8633510Z,baseline-A2,prefill256,2,6,avx2,fp16,256,0,True,775.661767,825.071158,310.276268,0,0
2026-09-05T20:17:02.4773184Z,baseline-A2,prefill256,3,6,avx2,fp16,256,0,True,769.030343,803.045853,318.78628,0,0
2026-09-05T20:17:22.6219447Z,q4-prefill-E1,prefill256,1,6,avx2,fp16,256,0,True,773.901713,691.346594,370.291837,0,0
