prompt_tokens,variant,samples,prefill_tps_median,prefill_tps_min,prefill_tps_max,decode_tps_median
512,auto/auto/0/0/32/0,6,2236.4094465,2130.206368,2245.301859,0.0
512,rows/auto/0/8/64/64,6,2121.345765,2070.667179,2125.260884,0.0
