run_label,prompt_name,cpu_isa,cpu_threads,cpu_kv_cache,teacher_forced,prompt_tokens,generated_tokens,load_time_ms,prefill_time_ms,prefill_tokens_per_second,decode_time_ms,tokens_per_second
fp16-forced2,forced-decode128,avx512-vnni,12,fp16,True,128,128,569.2035,112.3283,1139.516934,1051.6002,121.719262
fp16-forced3,forced-decode1,avx512-vnni,12,fp16,True,1,128,575.3254,9.9195,100.811533,1005.6374,127.282458
fp16-forced3,forced-decode1,avx512-vnni,12,fp16,True,1,128,568.5623,9.8613,101.406508,989.9833,129.29511
fp16-forced3,forced-decode1,avx512-vnni,12,fp16,True,1,128,570.6923,10.0112,99.888125,1007.4485,127.053641
fp16-forced3,forced-decode128,avx512-vnni,12,fp16,True,128,128,565.4122,113.1974,1130.768021,1032.585,123.960739
fp16-forced3,forced-decode128,avx512-vnni,12,fp16,True,128,128,571.9066,119.5773,1070.437282,1009.3643,126.81249
fp16-forced3,forced-decode128,avx512-vnni,12,fp16,True,128,128,569.8887,113.881,1123.980295,1057.4494,121.045981
fp32-forced4,forced-decode1,avx512-vnni,12,fp32,True,1,128,568.9608,10.067,99.334459,989.2179,129.395151
fp32-forced4,forced-decode1,avx512-vnni,12,fp32,True,1,128,570.4244,10.0531,99.471805,1003.4321,127.562194
fp32-forced4,forced-decode1,avx512-vnni,12,fp32,True,1,128,567.1056,10.1094,98.917839,1003.6005,127.540789
fp32-forced4,forced-decode128,avx512-vnni,12,fp32,True,128,128,573.6612,135.3097,945.978005,1043.9779,122.607959
fp32-forced4,forced-decode128,avx512-vnni,12,fp32,True,128,128,570.708,113.7448,1125.326169,1027.9995,124.513679
fp32-forced4,forced-decode128,avx512-vnni,12,fp32,True,128,128,567.1884,113.6066,1126.695104,1043.8888,122.618424
